repository,pr_number,mode,used_indexed_knowledge,indexing_s,review_s,total_s,llm_prompt_tokens,llm_completion_tokens,embedding_index_tokens,embedding_review_tokens,total_tokens,generated_comments,reference_comments,exact_match_rate,bleu4_mean,rougeL_f1_mean,meteor_mean,semantic_sim_mean,bertscore_f1_mean,gen_file_in_diff_rate,gen_line_in_hunk_rate
home-assistant/core,169591,rag,16,0.0,20.13,20.13,4154,940,0,741,5835,2,4,0.0,0.0467,0.1975,0.3267,0.8137,,1.0,1.0
home-assistant/core,169591,no_rag,0,0.0,13.04,13.04,3479,800,0,0,4279,1,4,0.0,0.0976,0.2791,0.3823,0.7738,,1.0,1.0
home-assistant/core,169712,rag,64,0.0,26.5,26.5,18599,3660,0,2853,25112,14,6,0.0,0.0379,0.1557,0.2207,0.4522,,1.0,0.7857
home-assistant/core,169712,no_rag,0,0.0,17.53,17.53,14841,2626,0,0,17467,10,6,0.0,0.0401,0.1662,0.2209,0.4678,,1.0,0.8
home-assistant/core,169749,rag,96,0.0,23.82,23.82,25095,5072,0,2436,32603,6,5,0.0,0.0204,0.1302,0.1629,0.2349,,1.0,1.0
home-assistant/core,169749,no_rag,0,0.0,18.58,18.58,20540,4642,0,0,25182,6,5,0.0,0.0356,0.162,0.2036,0.3727,,1.0,1.0
home-assistant/core,169851,rag,48,0.0,30.34,30.34,18968,3356,0,7522,29846,15,15,0.0,0.0524,0.188,0.3275,0.4394,,1.0,1.0
home-assistant/core,169851,no_rag,0,0.0,18.88,18.88,16503,2676,0,0,19179,9,15,0.0,0.0594,0.1906,0.3402,0.437,,1.0,1.0
getsentry/sentry,115754,rag,30,0.0,28.23,28.23,12624,2241,0,2032,16897,12,3,0.0,0.004,0.1006,0.096,0.3812,,1.0,1.0
getsentry/sentry,115754,no_rag,0,0.0,22.49,22.49,11230,2344,0,0,13574,11,3,0.0,0.0024,0.0946,0.0934,0.3675,,1.0,1.0
getsentry/sentry,115770,rag,22,0.0,23.35,23.35,7099,1233,0,1265,9597,2,3,0.0,0.0004,0.1158,0.1071,0.3672,,1.0,1.0
getsentry/sentry,115770,no_rag,0,0.0,14.27,14.27,6001,1341,0,0,7342,2,3,0.0,0.0,0.0875,0.0714,0.4081,,1.0,1.0
getsentry/sentry,115892,rag,64,0.0,21.02,21.02,20102,3305,0,2345,25752,19,2,0.0,0.0001,0.0537,0.047,0.3537,,1.0,1.0
getsentry/sentry,115892,no_rag,0,0.0,19.38,19.38,17299,3781,0,0,21080,20,2,0.0,0.0,0.0547,0.0473,0.4256,,1.0,1.0
microsoft/vscode,315418,rag,32,0.0,25.11,25.11,7424,1415,0,1863,10702,3,3,0.0,0.02,0.1694,0.1686,0.2478,,1.0,1.0
microsoft/vscode,315418,no_rag,0,0.0,15.43,15.43,5928,752,0,0,6680,1,3,0.0,0.0681,0.2177,0.3115,0.8431,,1.0,1.0
microsoft/vscode,316275,rag,48,0.0,32.16,32.16,17007,3242,0,5187,25436,9,5,0.0,0.0735,0.2226,0.3477,0.5495,,1.0,0.8889
microsoft/vscode,316275,no_rag,0,0.0,22.15,22.15,14283,2650,0,0,16933,6,5,0.0,0.064,0.2536,0.3628,0.6484,,1.0,1.0
microsoft/vscode,316694,rag,72,0.0,32.43,32.43,21046,5915,0,5611,32572,16,6,0.0,0.0515,0.1464,0.2038,0.4444,,1.0,1.0
microsoft/vscode,316694,no_rag,0,0.0,24.93,24.93,17497,5544,0,0,23041,16,6,0.0,0.0263,0.1292,0.2005,0.4728,,1.0,1.0
